"scenario","conflict_kind","category","path","raw"
"master_to_r11s_direct","content","protected_root_release","reports/final_scoreboard.xlsx","CONFLICT (content): Merge conflict in reports/final_scoreboard.xlsx"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_entrypoint_isolation/outputs/tc_public_1/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_entrypoint_isolation/outputs/tc_public_1/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_entrypoint_isolation/outputs/tc_public_22/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_entrypoint_isolation/outputs/tc_public_22/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_entrypoint_isolation/outputs/tc_public_30/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_entrypoint_isolation/outputs/tc_public_30/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_10/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_10/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_11/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_11/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_12/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_12/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_16/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_16/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_17/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_17/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_18/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_18/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_19/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_19/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_2/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_2/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_20/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_20/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_21/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_21/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_23/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_23/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_24/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_24/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_25/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_25/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_26/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_26/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_27/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_27/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_28/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_28/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_29/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_29/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_3/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_3/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_4/work/variants/inputs/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_4/work/variants/inputs/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_5/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_5/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_6/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_6/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_7/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_7/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_8/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_8/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","candidate_results","results_candidate/r8_formal_names_preflight/public30/tc_public_9/work/variants/clean/output.candidate.blif","CONFLICT (content): Merge conflict in results_candidate/r8_formal_names_preflight/public30/tc_public_9/work/variants/clean/output.candidate.blif"
"master_to_r11s_direct","content","protected_submit_tree","submit/configs/final_selector.yaml","CONFLICT (content): Merge conflict in submit/configs/final_selector.yaml"
"master_to_r11s_direct","content","protected_submit_tree","submit/configs/pipelines.yaml","CONFLICT (content): Merge conflict in submit/configs/pipelines.yaml"
"master_to_r11s_direct","content","protected_submit_tree","submit/failure_cases.md","CONFLICT (content): Merge conflict in submit/failure_cases.md"
"master_to_r11s_direct","content","protected_submit_tree","submit/final_cec.log","CONFLICT (content): Merge conflict in submit/final_cec.log"
"master_to_r11s_direct","content","protected_submit_tree","submit/final_metrics.csv","CONFLICT (content): Merge conflict in submit/final_metrics.csv"
"master_to_r11s_direct","content","protected_submit_tree","submit/final_scoreboard.xlsx","CONFLICT (content): Merge conflict in submit/final_scoreboard.xlsx"
"master_to_r11s_direct","rename/rename","protected_submit_tree","submit/logs/reproduce.log","CONFLICT (rename/rename): submit/logs/reproduce.log renamed to submit/logs/P84_submit_dir_verify_all_cec.log in master and to logs/r7b_pure_clean_cec.log in release/r11-preflight."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_1/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_1/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_1/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_1/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_1/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_1/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_1/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_10/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_10/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_10/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_10/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_10/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_10/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_10/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_11/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_11/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_11/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_11/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_11/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_11/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_11/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_12/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_12/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_12/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_12/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_12/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_12/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_12/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_13/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_13/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_13/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_13/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_13/output.candidate.blif","CONFLICT (modify/delete): submit/results/final_public/tc_public_13/output.candidate.blif deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_13/output.candidate.blif left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_14/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_14/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_14/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_14/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_14/output.candidate.blif","CONFLICT (modify/delete): submit/results/final_public/tc_public_14/output.candidate.blif deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_14/output.candidate.blif left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_15/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_15/logs/final_cec_verify.log"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/original_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/original_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/original_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/logs/selected_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/logs/selected_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/logs/selected_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_15/output.blif","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_15/output.blif"
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_15/output.candidate.blif","CONFLICT (modify/delete): submit/results/final_public/tc_public_15/output.candidate.blif deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_15/output.candidate.blif left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_16/logs/baseline_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_16/logs/baseline_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_16/logs/baseline_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_16/logs/baseline_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_16/logs/baseline_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_16/logs/baseline_stats.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_16/logs/candidate_cec.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_16/logs/candidate_cec.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_16/logs/candidate_cec.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_16/logs/candidate_opt.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_16/logs/candidate_opt.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_16/logs/candidate_opt.log left in tree."
"master_to_r11s_direct","modify/delete","protected_submit_tree","submit/results/final_public/tc_public_16/logs/candidate_stats.log","CONFLICT (modify/delete): submit/results/final_public/tc_public_16/logs/candidate_stats.log deleted in release/r11-preflight and modified in master.  Version master of submit/results/final_public/tc_public_16/logs/candidate_stats.log left in tree."
"master_to_r11s_direct","content","protected_submit_tree","submit/results/final_public/tc_public_16/logs/final_cec_verify.log","CONFLICT (content): Merge conflict in submit/results/final_public/tc_public_16/logs/final_cec_verify.log"
